Х Торнадо  50мл от всех видов сорняков 1/110(5 лет),3, +, +, +  25.06.15 пер(СКЛАД недостача по производству) -  П 14.07.15 +,20, ,5, , , , ,10,15,41,20,23,40,42,148,107,228,92,282,754,848,752,596,548,146,361,72,112,141,103,71,86,55,10,12,31,22,33,1,21,7,1,21, , ,1, ,1, , , , , , ,14,20,10, ,60,20,20,1,27,22,100,90,229,386,149,257,622,766,801,777,547,135,477,326,174,298,170,165,171,133,61,109,31,8,10,6,16,20, , , , , , , , , , , , ,20,30, ,11,30,40, ,120,30,60,41,28,10,175,30,40,413,131,511,1237,1368,1162,870,448,486,344,519,311,322,403,384,244,212,43,23,3,43,52,41,56,26,8,1, , , , , , , , ,10, , ,30,6,10, ,50,35,352,1,10,37,63,107,113,354,381,777,1201,1049,841,1414,736,492,1014,384,58,36,240,352,77,167,173,85,11,35,51,80,103,40,15, , , , , , , , , , , 
Х Торнадо 100мл от всех видов сорняков 1/100(5 лет),3, +, +, -  П 21.01.15 +  К 13.07.15 -  П 14.07.15 +,20,1,6,5,11, ,105,8, ,20,75,121,58,61,153,141,451,176,152,876,836,890,1064,524,406,342,351,113,123,237,88,190,37,55,25,33,10,24,27,26,12,2,1, , , , , , , ,10, , ,40,1,10,122,50,41,36,12,44,38,38,178,91,250,394,321,447,1019,870,1116,1127,617,498,607,815,528,426,255,112,176,156,120,74,62,42,22,41,47,4,16, ,1,2, , , , , ,20, , ,100,15, , ,15,39,13,31,6,12,49,97,35,173,145,471,524,432,895,1538,1498,1045,631,460,577,457,511,369,362,478,56,212,209,100,80,20,111,123,69,40,29,8,20, , ,1,1, , , , , , , , , , ,51,100,11,161,1,11,58,127,48,122,107,334,621,1071,1218,1207,1652,955,466,1184,1451,222,116,335,306,158,289,146,201,74,45,158,71,160,45,50,20, , , , , , , , ,100, 
Х Торнадо 1л от всех видов сорняков 1/12(5 лет),3, +, -  П 08.01.16 +  К 22.06.16 -  П 29.06.16 +  К 08.08.16 -  П 20.10.16 +, +  К 17.06.15 -  П 23.06.15 +  К 21.09.15 -,6, ,3,1, ,5,6, ,1,4, ,5,12,26,28,22,101,61,54,187,149,120,122,85,48,71,80,46,36,20,23,63,7,8, ,15,8,6,2,1,13, , , ,1, , , , , , , , ,4, ,3,6,17,6,6,13,26,6,5,54,19,19,26,51,87,111,178,117,127,140,57,49,150,41,38,43,40,42,29,10,38,20,10,5,9,3, ,2,5,1, , ,1, , , ,6, , , ,1,15,4,2,10,1,6,3,3,4,5,7,24,33,29,103,64,124,165,168,122,80,43,44,35,44,34,70,54,14,12,5,6, , , , , , , , ,5, ,5, , ,1, , , ,2, ,2,4,12, ,3,4,6,27, , ,6,24,12,9,21,33,32,70,111,90,149,63,5,9,83,36,39,33,64,19,17,8,20,14, ,18,4,5, , , , , , , , , , , , , 
Х Биодом Дачный туалет 75гр 1/24(3 года),3, +  К 15.08.17 -, +, +, , , , , , ,2, , , , , , , , , ,1,1, , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26,17, ,1,5, , , , ,10, , ,1,15,5, ,16,5,1,25,12,1,47, ,2,15, ,11,1,5,34,1, , , ,1, , , , , , , , , , , , , , ,5, , , , , , , ,7, , ,30,10,5,10, ,5,13,10,1,47,26,25,4,28,6,6,14,15,10,8,63,8, ,34,1,10, ,3,27, , ,22,5,15, , , , , , , , ,10, ,1, ,2,20,1,1,10,1,4, , , ,16,16,2,7,10,19,32,3,15,67,14,10,9,7,52,10,29,4,20, ,2,6,3,34,4, ,2,15, ,1, , ,1, , , , 
"Х Биопрепарат Горыныч 0,5л + 3*30гр для туалетов и выгребных ям 1/12(4 года)",3, +, -  П 11.02.16 +  К 01.09.16 -  П 21.11.16 +, +  К 29.07.15 -, ,1,3, , ,24,18,3,9,24, ,23,35,18,37,12,105,32,61,80,114,41,92,40,12,76,11,32,50,103,27,28,35,8,4,29,18,1,11,12,12,19, , ,1,4,12, ,12,3,3, , ,1,7, ,12, ,18,12, ,3,15,20,33,64,30,18,44,38,47,89,64,57,77,37,53,74,47,28,72,52,28,52,47,65,35,9,8,23,2,5,3,3,3,6,2,1, ,4, , , , , , , , , , ,27,43,7,3,14,53,8,4,27,22,16,50,54,104,104,62,109,51,30,24,40,82,37,89,18,22,30,25,5,4,3,17,6,1,1, , , , , , , ,3,1, , ,1,48,3,17,2, ,29,14, ,10, ,34,3,3,11,38,10,80,53,33,49,69,90,91,70,47,62,57,21,28,24, , , , , , , , , , , , , , , , , , , , , 
Х Биопрепарат Удачный 30гр для туалетов и выгребных ям 1/40(4 года),3, +, -  П 11.02.16 +, +  К 05.08.15 -,22, ,50,10,10,10, ,10,10,3, ,10,32,7,50,70,178,54,80,166,182,203,308,129,14,51,4,18,4,15,4,7, , ,10, , , , ,10, ,10,20, , ,1, ,10, , , , , , ,30,10, , , ,11, ,10, ,28,50,23,41,57,18,57,45,172,106,146,45,109,34,112,137,27,108,21,26,21,64,64,16,90,40, ,11,10, ,5, ,10, , , , , , , , , , , , , , ,10,20,40,15,33,20,43,37,100,93,153,123,110,88,94,178,263,13,81,93,100,74,88,74,58,126,41, ,21,124,20,15,1,1, ,10, , , , , ,40, , , , , ,17,50, ,45,1,10,23,60,20,3,12,70,164,41,155,40,210,128,123,347,175,114,94,261,261,216,170,25,227,111,21,6,16,2,2,30, ,3,9,5,6,6,1, , , , , , , , 
Х Биосостав Дачный  50гр для дачных туалетов и выгребных ям 1/50(2 года),3, +, +  К 20.09.16 -  П 07.10.16 +, -  П 04.03.15 +,4, , , ,5, , ,2,10,8, ,20, ,7,21,10,20,52,8,151,6,25,91,84,101,24,20,2,39,44,23,12,40,5,23,10, , ,1,15,5, ,5,11,20, , ,5, , , ,1, , , , , ,10, ,8, ,20,10,20,30,50,16,7,65,31,21,92,76,132, ,54,22,72,2,51,80,61,11,1,11,21,38, ,2, ,1,7, , , , , , , ,2, , , , , , , , ,5, , , , , , ,56,15,73,86,31,65,16,42,101,119,90,148,84,8,129,61,24,20,66,62,20,24,3,58, ,3,5, ,1,1, , , , , ,1, , , , , , , , , , , , , , , , ,21,1,80,1,94,70,236,63,82,102,173,33,104,155,85,88,35,11,143,104,34,1,50,38,35,2,52,56,5,2,1, , , ,10, , , , , , 
Х Биосостав Дачный 100гр для дачных туалетов и выгребных ям 1/28(2 года),3, +, +, +  К 03.02.15 -  П 03.02.15 +,1, ,10, , , , ,15,1,5, ,15,1,1,40,10,37,30,70,88,71,41,74,17,71,35,18,15,5,16,11,7,10, , ,3,10,12,2, , ,2,5,4,2, , , , , , , , , , , , , , , ,5,1, ,11, ,1,20,1,12,21,21,16,85,47,29,23,22,25,10,75,27,94,33,10,19,21,63,16,11,1, ,1, ,10,3, , ,5, ,1,5, , , , ,2, ,5,5,2, , ,10, ,15,58,23,69,9,25,15,65,28,89,211,23,119,94,13,46,91,73,69,26,65,88,44,5,10,75,9,25,1, ,2,10, , , , , , , , , , , , , ,19, ,3, ,2, , ,10,1,2,38,5,167,31,162,80,41,76,180,133,64,120,62,61,33,17,121,43,1,72,26,15,42,30,4,19,6,7,2, ,1,5, , , , , , , 
"Х Биосостав Дачный Аква 0,5л концентрат для дачных туалетов 1/16(1 год)",3, -  П 09.01.17 +  К 12.07.17 -  П 06.12.17 +, -  П 05.02.16 +  К 25.08.16 -  П 01.09.16 +  30.12.16 пер(ХИМИЯ переделка) -, -  П 04.03.15 +  К 20.08.15 -,5, , , , ,5, ,5,15, , , ,5, , ,15,45, ,16,8,48,13,15,5,42,35,13,13,25,10,5,15,9,26,15,5, ,21,7, ,1,2,5, , , , , , , , , , ,1,5,10, ,1, ,10,10,5,10,14,15, ,21,8,26,60,36,45,93,77,70,57,48,44,79,46,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,16,10,3, ,15,45,11,26,16,56,21,31,47,103,53,33,39,63,5,15,57,45,49,49,22,22,14,20,1,33,14,10, , ,1,1,2, ,2,5,10, , , , , , , , , , , , , , , ,2,14,5,138,31,55,10,46,31,102,15,13,64,48,68,73,68,40,22,80,30,5,8,60, , , , , , , , , , , , , , , , , , 
Х Биосостав Дачный Аква 1л концентрат для дачных туалетов 1/9(1 год),3, -  П 09.01.17 +  К 02.08.17 -  П 26.09.17 +  К 19.10.17 -  П 06.12.17 +, +  К 05.02.16 -  П 17.02.16 +  К 15.08.16 -, -  П 27.04.15 +, , ,1, , , ,1, ,3, , ,15,1,2,1,14,18,13,5,22,38,16,45,14,31,1,13,19,5,42, ,13,9,12, ,2,1,8,3,5,9,1, , , , , , ,1, , , , , , ,3, , , , ,3, ,10, , , ,14,12,14,8,8,26,12,15,23,19,22,8,9,32,14,62,17, ,1, , ,1, ,-12,3, , ,8, , , , , , ,3, , , ,5, , ,1,9,2, ,1, , , , , , ,9, ,5, ,13, ,30,2,21,27,11,14,24,35,7,30,1,1,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27,11,12,6,6,3, , ,9,41,14,1,4,2,28,10,7,7,4,14,2,6, , ,5, , ,2, , , , , , , 
